Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route
176303714,25P2,"1,347.00","1,347.00","2,000.00",G,CCM,1510962039,1/10/2023,1/20/2023,1,70490240,ZPLF,2524,2,ZP01,SG00GS
176303744,25P2,540,540,"4,000.00",G,CCM,1510965146,1/11/2023,1/13/2023,1,70155196,ZPLF,2524,1,ZP01,SG00GV
176303793,25P2,23,23,0,G,CCM,1510964400,1/11/2023,1/12/2023,1,70029285,ZPLF,2524,1,ZP01,SG00FE
176304139,25P2,486,486,"4,000.00",G,CCM,1510964380,1/11/2023,1/12/2023,1,70465560,ZPLF,2524,1,ZP01,SG00FE
176304215,25P2,90,90,"1,000.00",G,CCM,1510962548,1/10/2023,1/20/2023,1,70490240,ZPLF,2524,1,ZP01,SG00GS
176304237,25P2,52,52,0,G,CCM,1510964141,1/11/2023,1/12/2023,1,70019459,ZPLF,2522,1,ZP01,SG00FE
176304265,25P2,90,90,"1,000.00",G,CCM,1510962605,1/10/2023,1/20/2023,1,70351598,ZPLF,2524,1,ZP01,SG00GS
176304347,25P2,180,180,"1,000.00",G,CCM,1510962629,1/10/2023,1/20/2023,1,70373907,ZPLF,2524,1,ZP01,SG00GS
176304497,25P2,402,402,"1,000.00",G,CCM,1510964147,1/11/2023,1/12/2023,1,70043250,ZPLF,2522,2,ZP01,SG00FE
176304558,25P2,249,249,"3,000.00",G,CCM,1510971212,1/12/2023,1/13/2023,1,70428043,ZPLF,2510,1,ZP01,SG00GR
176304589,25P2,"4,038.00","4,038.00","6,000.00",G,CCM,1510967340,1/11/2023,1/13/2023,1,70155196,ZPLF,2522,5,ZP01,SG00GV
176304687,25P2,512,512,"1,000.00",G,CCM,1510964194,1/11/2023,1/12/2023,1,70029285,ZPLF,2522,3,ZP01,SG00FE
176304840,25P2,"1,206.00","1,206.00","2,000.00",G,CCM,1510973457,1/12/2023,1/13/2023,1,70373907,ZPLF,2522,2,ZP01,SG00GS
176305418,25P2,612,612,"1,000.00",G,CCM,1510973521,1/12/2023,1/13/2023,1,70464520,ZPLF,2522,2,ZP01,SG00GS
176305428,25P2,"1,496.00","1,496.00","2,000.00",G,CCM,1510973463,1/12/2023,1/13/2023,1,70401488,ZPLF,2522,2,ZP01,SG00GS
176305574,25P2,288,288,458,G,CCM,1510972704,1/12/2023,1/13/2023,1,70408280,ZPLF,2522,1,ZP01,SG00GS
176305580,25P2,532,532,"1,000.00",G,CCM,1510973439,1/12/2023,1/13/2023,1,70490240,ZPLF,2522,1,ZP01,SG00GS
176305605,25P2,964,964,"2,000.00",G,CCM,1510964078,1/11/2023,1/12/2023,1,70544149,ZPLF,2522,3,ZP01,SG00FE
176306294,25P2,"1,515.00","1,515.00","11,000.00",G,CCM,1510966362,1/11/2023,1/13/2023,1,70155196,ZPLF,2510,1,ZP01,SG00GV
176306359,25P2,780,780,"2,000.00",G,CCM,1510956137,1/9/2023,1/20/2023,1,70081032,ZPLF,2524,2,ZP04,SG00GR
176306405,25P2,552,552,"1,000.00",G,CCM,1510955362,1/9/2023,1/13/2023,1,70155196,ZPLF,2524,1,ZP04,SG00GV
176306691,25P2,451,451,"2,000.00",G,CCM,1510955461,1/9/2023,1/20/2023,1,70428043,ZPLF,2524,1,ZP04,SG00GR
176307052,25P2,165,165,"1,000.00",G,CCM,1510965534,1/11/2023,1/12/2023,1,70019459,ZPLF,2510,1,ZP01,SG00FE
176307118,25P2,20,20,0,G,CCM,1510957912,1/9/2023,1/20/2023,1,70435202,ZPLF,2524,1,ZP01,SG00GS
176307140,25P2,690,690,"6,000.00",G,CCM,1510964517,1/11/2023,1/12/2023,1,70029285,ZPLF,2510,1,ZP01,SG00FE
176307180,25P2,"1,696.00","1,696.00","12,000.00",G,CCM,1510970212,1/12/2023,1/13/2023,1,70083842,ZPLF,2510,1,ZP01,SG00GS
176307229,25P2,785,785,"6,000.00",G,CCM,1510970599,1/12/2023,1/13/2023,1,70435202,ZPLF,2510,1,ZP01,SG00GS
176307245,25P2,207,207,"2,000.00",G,CCM,1510970887,1/12/2023,1/13/2023,1,70401488,ZPLF,2510,1,ZP01,SG00GS
176307268,25P2,357,357,"2,000.00",G,CCM,1510971305,1/12/2023,1/13/2023,1,70408280,ZPLF,2510,1,ZP01,SG00GS
176307323,25P2,399,399,"3,000.00",G,CCM,1510971443,1/12/2023,1/13/2023,1,70351598,ZPLF,2510,1,ZP01,SG00GS
176307336,25P2,484,484,"2,000.00",G,CCM,1510965549,1/11/2023,1/12/2023,1,70043250,ZPLF,2510,1,ZP01,SG00FE
176307375,25P2,320,320,"2,000.00",G,CCM,1510971233,1/12/2023,1/13/2023,1,70373907,ZPLF,2510,1,ZP01,SG00GS
176307397,25P2,"2,467.00","2,467.00","19,000.00",G,CCM,1510972125,1/12/2023,1/13/2023,1,70081032,ZPLF,2510,2,ZP01,SG00GR
176307532,25P2,655,655,"6,000.00",G,CCM,1510970908,1/12/2023,1/13/2023,1,70428043,ZPLF,2510,1,ZP01,SG00GR
176307588,25P2,102,102,"1,000.00",G,CCM,1510971447,1/12/2023,1/13/2023,1,70464520,ZPLF,2510,1,ZP01,SG00GS
176307623,25P2,"1,433.00","1,433.00","11,000.00",G,CCM,1510965989,1/11/2023,1/12/2023,1,70465560,ZPLF,2510,1,ZP01,SG00FE
176307669,25P2,165,165,"2,000.00",G,CCM,1510971558,1/12/2023,1/13/2023,1,70490240,ZPLF,2510,1,ZP01,SG00GS
176307821,25P2,57,57,"1,000.00",G,CCM,1510965373,1/11/2023,1/12/2023,1,70544149,ZPLF,2510,1,ZP01,SG00FE
176307932,25P2,110,110,"1,000.00",G,CCM,1510965967,1/11/2023,1/12/2023,1,70019459,ZPLF,2510,1,ZP01,SG00FE
176308088,25P2,418,418,"3,000.00",G,CCM,1510972273,1/12/2023,1/13/2023,1,70083842,ZPLF,2510,1,ZP01,SG00GS
176308116,25P2,352,352,"2,000.00",G,CCM,1510972239,1/12/2023,1/13/2023,1,70435202,ZPLF,2510,1,ZP01,SG00GS
