Delivery,TransPlnngPt,Shipping Type,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Delivery Route,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group
176880765,2513,ZP90,"3,568.00","3,568.00","7,000.00",G,CCM,1510996491,1/19/2023,1/25/2023,1,70130947,ZPLF,2513,1,ZP01
176880817,2513,ZP90,"3,584.00","3,584.00","7,000.00",G,CCM,1510996487,1/19/2023,1/25/2023,1,70012935,ZPLF,2513,1,ZP01
176880819,2513,ZP90,"6,960.00","6,960.00","12,000.00",G,CCM,1510996930,1/20/2023,1/25/2023,1,70012891,ZPLF,2513,1,ZP01
176880820,2513,ZP90,"15,740.00","15,740.00","27,000.00",G,CCM,1511001331,1/20/2023,1/25/2023,1,70012891,ZPLF,2513,2,ZP01
176880824,2513,ZP90,"3,584.00","3,584.00","7,000.00",G,CCM,1510996479,1/19/2023,1/25/2023,1,70382288,ZPLF,2513,1,ZP01
176880825,2513,ZP90,520,520,"1,000.00",G,CCM,1511001328,1/20/2023,1/25/2023,1,70382288,ZPLF,2513,1,ZP01
176880826,2513,ZP90,900,900,"2,000.00",G,CCM,1510996473,1/19/2023,1/25/2023,1,70382288,ZPLF,2513,1,ZP01
176880828,2513,ZP90,"3,584.00","3,584.00","7,000.00",G,CCM,1510996472,1/19/2023,1/25/2023,1,70086569,ZPLF,2513,1,ZP01
176880861,2513,ZP90,"3,552.00","3,552.00","6,000.00",G,CCM,1511009136,1/23/2023,1/25/2023,1,70482687,ZPLF,2513,1,ZP01
176890100,2513,ZP90,"1,917.00","1,917.00","13,000.00",G,CCM,1511002810,1/21/2023,2/6/2023,1,70089459,ZPLF,2513,2,ZP01
176898842,2513,ZP90,"3,768.00","3,768.00","9,000.00",G,CCM,1511004192,1/21/2023,1/26/2023,1,70382288,ZPLF,2513,3,ZP01
176904193,2513,ZP90,254,254,"1,000.00",G,CCM,1510999466,1/20/2023,1/26/2023,1,70012117,ZPLF,2513,1,ZP01
176907635,2513,ZP90,"1,380.00","1,380.00","11,000.00",G,CCM,1511001878,1/21/2023,2/6/2023,1,70436633,ZPLF,2513,2,ZP01
