Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route,
802411713,2522,"98,348.00","98,348.00","406,000.00",G,CCM,1511414086,5/12/2023,5/23/2023,1,70022040,ZPLF,2522,1,ZP01,SG00FE,
802411714,2522,"140,600.00","140,600.00","584,000.00",G,CCM,1511414090,5/12/2023,5/23/2023,1,70277887,ZPLF,2522,3,ZP01,SG00FL,
802411715,2522,"72,920.00","72,920.00","301,000.00",G,CCM,1511414063,5/12/2023,5/23/2023,1,70022065,ZPLF,2522,2,ZP01,SG00GP,
802411841,2522,"16,560.00","16,560.00","31,752.00",G,CCM,,,5/22/2023,1,70082205,ZPLF,2522,1,ZP01,SG00GU,
802419160,2522,882,882,"4,941.00",G,CCM,,,5/18/2023,1,70087916,ZPLF,2522,1,ZP01,NG00GK,
802419161,2522,"29,624.00","29,624.00","103,521.68",G,CCM,,,5/18/2023,1,70553966,ZPLF,2522,1,ZP01,SG00GV,
802419162,2522,"1,816.00","1,816.00","10,380.20",G,CCM,,,5/18/2023,1,70553966,ZPLF,2522,1,ZP01,SG00GV,
802419163,2522,"23,244.00","23,244.00","78,724.80",G,CCM,,,5/18/2023,1,70354596,ZPLF,2522,1,ZP01,SG00GM,
802419164,2522,"16,272.00","16,272.00","59,024.08",G,CCM,,,5/18/2023,1,70091848,ZPLF,2522,1,ZP01,SG00GP,
802419165,2522,"25,092.00","25,092.00","86,114.98",G,CCM,,,5/18/2023,1,70017364,ZPLF,2522,1,ZP01,NG00GE,
802419166,2522,"16,480.00","16,480.00","60,179.23",G,CCM,,,5/18/2023,1,70278544,ZPLF,2522,1,ZP01,NG00GK,
802422823,2522,"25,512.00","25,512.00","58,433.40",G,CCM,,,5/22/2023,1,70022681,ZPLF,2522,1,ZP01,SG00GR,
802426598,2522,518,518,"3,249.84",G,CCM,,,5/17/2023,1,70017289,ZPLF,2522,1,ZP01,SG00FL,
802428741,2522,516,516,"2,000.00",G,CCM,1511415978,5/15/2023,5/22/2023,1,70085373,ZPLF,2522,1,ZP01,SG00GL,
802432327,2522,"15,476.00","15,476.00","55,569.90",G,CCM,,,5/17/2023,1,70017102,ZPLF,2522,1,ZP01,SG00GO,
802432553,2522,"12,600.00","12,600.00","42,548.64",G,CCM,,,5/17/2023,1,70017185,ZPLF,2522,1,ZP01,SG00GO,
802432554,2522,124,124,749.36,G,CCM,,,5/17/2023,1,70017177,ZPLF,2522,1,ZP01,NG00GK,
802432555,2522,"10,976.00","10,976.00","36,770.46",G,CCM,,,5/17/2023,1,70017127,ZPLF,2522,1,ZP01,SG00GV,
802432556,2522,"1,384.00","1,384.00","8,272.37",G,CCM,,,5/17/2023,1,70017084,ZPLF,2522,1,ZP01,NG00GI,
802432557,2522,"11,370.00","11,370.00","44,656.16",G,CCM,,,5/17/2023,1,70017089,ZPLF,2522,1,ZP01,NG00GH,
802432558,2522,"3,920.00","3,920.00","21,960.00",G,CCM,,,5/17/2023,1,70017116,ZPLF,2522,1,ZP01,NG00GG,
