#{"t_start": 1766644727.1364343, "env_id": "None"}
r,l,t
3.5676353,4,1545.481136
3.694906,5,1552.805994
3.782447,5,1554.802617
4.252956,5,1556.166912
3.2107446,1,1557.618318
3.7569687,14,1557.959262
3.3219278,3,1557.95962
0.47332844,1,1564.235816
2.757777,2,1564.236795
3.5331123,5,1564.236931
2.7777255,2,1569.264855
3.813668,4,1571.967905
4.3279495,3,1582.836252
2.653847,2,1582.836709
3.4572453,5,1582.836915
3.1687422,2,1593.461135
3.797937,7,1593.461454
3.6085126,3,1595.357466
2.5165808,3,1595.357781
3.342205,2,1599.944026
2.7824283,3,1600.845482
4.1467767,3,1603.57967
3.0373368,2,1608.977659
3.8051014,4,1611.377149
0.18630879,2,1611.654986
4.1670647,6,1611.655306
2.969683,1,1611.655493
1.7334669,1,1613.409287
3.3200302,5,1616.984334
2.4530885,2,1616.984712
4.354545,2,1616.984911
3.372148,2,1625.412986
3.4903548,2,1626.816692
2.8596742,4,1628.574692
3.0240517,3,1628.817537
4.057714,5,1629.543149
3.0473468,3,1635.724609
3.7227235,9,1635.724929
3.9213257,5,1635.725035
3.006348,5,1638.636982
3.7297676,2,1639.38386
3.343391,3,1648.191263
3.796806,2,1648.191817
1.7947016,1,1651.096843
3.4823225,6,1655.053092
4.122796,6,1655.053624
2.2285287,1,1655.456708
3.5953217,2,1655.771807
2.484657,1,1655.772429
3.9919903,1,1662.524092
2.9258592,5,1662.524452
3.2324755,1,1666.811008
1.4646139,1,1668.344208
3.5132778,8,1674.79328
2.7285619,2,1674.793621
3.1779003,3,1683.275238
1.5993319,1,1683.426927
2.7291286,5,1683.643241
3.4712164,12,1686.22719
2.5061297,2,1686.227602
1.7068577,1,1690.336017
3.601931,3,1700.193488
3.8609867,5,1704.639902
2.0803216,1,1706.572935
3.27542,1,1710.396311
3.6135547,12,1712.246206
0.4236855,1,1713.770965
3.856785,22,1718.141535
4.2141447,7,1718.141861
-0.005,1,1720.939066
0.939439,2,1721.102968
4.2173142,4,1726.459185
0.49307555,1,1731.172514
2.0467653,1,1731.457396
3.7398758,9,1731.457716
4.109064,5,1733.740956
0.888564,2,1738.341366
3.9782667,4,1743.598293
1.4029067,2,1745.868495
